id,fileName,details,type,previewsMirrors,path,fileMirrors
XEYE_c4e26b8b-f9f5-4060-9af3-3519e9002759,Capítulo 28 El ataque de.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 28 El ataque de.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDpWdcOKv5RbQmH6W5NNugDaKlP5PjAAIiAAOo5LhEl4s5zHWTXaM2BA""}"
XEYE_65687404-7c5a-4b42-ade8-2c5866139a6e,Capítulo 29 ¡Papá eres increíble!.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 29 ¡Papá eres increíble!.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDpmdcOKs2vvczFJmiTq4TCLqhcfG6AAIlAAO4V7lEAAFkWzvgNa2BNgQ""}"
XEYE_3aa61eab-ae93-44ad-80f5-ce31ee516f50,Capítulo 30 Una pelea fuera.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 30 Una pelea fuera.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDp2dcOKuOjKTRnCbOjJuZkx0s2uu3AAIjAAOo5LhEtB2u7Cqu-Xk2BA""}"
XEYE_0c6f50b0-7adb-4c6f-a026-bc3d7aed72f0,Capítulo 31 ¡Arriesga tu vida.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 31 ¡Arriesga tu vida.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDqGdcOKthKrQVrhlX1hNtqOs2AAGlPgACJAADqOS4REkISznMTYw4NgQ""}"
XEYE_58e9d53d-a943-42fc-b29c-67a2bd993463,Capítulo 32 ¡Su poder de.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 32 ¡Su poder de.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDqWdcOKvhFVG9i0kw6kjPuKMRPXldAAInAAOo5LhEvqQ1J0zyiUs2BA""}"
XEYE_3501ded2-758e-452d-a892-f72a3483c4b6,Capítulo 33 ¡No te mueras.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 33 ¡No te mueras.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDqmdcOKv2L5oBqno3AAFijPj8eX5qZAACKAADqOS4RBi6nNfdFWtlNgQ""}"
XEYE_490dec0c-dc1f-479c-bbde-18ef1d604cf8,Capítulo 34 ¡Pégale Krilin! Una.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 34 ¡Pégale Krilin! Una.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDq2dcOKsvgbw5zJBFwdOaC5KPR_aTAAIpAAOo5LhEZhBE4m3aKZc2BA""}"
XEYE_ec269c68-e28a-4dae-8c66-049aef533e37,Capítulo 35 ¡Ocurre un milagro!.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 35 ¡Ocurre un milagro!.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDrGdcOKtAlQABCO1Xmx23Z5vbu9kHjgACKgADqOS4RJmVYNRUZFYhNgQ""}"
XEYE_d969cc9d-631c-4185-802d-3ff3a2caa2dd,Saga de Cell,,FOLDER,,XEYE:/Series/Anime/Dragón Ball Z/Saga de Cell/,
XEYE_d77d101e-bf63-47a2-9c18-74054ec2d01e,Capítulo 118 Ese es el.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de Cell/Capítulo 118 Ese es el.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDtGdcOeayrHrQPrqX2BBrVZQG7WHVAAI9AAND2iBFaaA47W4WPVU2BA""}"
